annotation,answer_firstword,question_firstword,text
factoid,the,What,What caused an improvement in sound quality in 1950? _A_ the use of a magnetic soundtrack _A_ the use of an optical soundtrack _A_ the adoption of a quadraphonic sountrack _A_ the specialisation in silent films _A_ none of the above
factoid,,What,What event in 1958 threatened the future of the orchestral film score? _A_ minimalist soundtracks _A_ a musicians' strike _A_ scores by John Williams _A_ rock-tinged percussiveness _A_ none of the above
factoid,,Who,"Who wrote the music for the film ""Fantasia""? _A_ Frank Churchill _A_ Leonard Bernstein _A_ Erich Korngold _A_ Max Steiner _A_ none of the above"
cause,it,Why,"Why was the music for ""The Big Country"" widely imitated? _A_ it used a memorable theme _A_ it was based on a guitar solo _A_ it was partly atonal _A_ it was influenced by Alban Berg _A_ none of the above"
factoid,he,How,How did Alfred Newman compose film scores? _A_ he used many fugues and passacaglias _A_ he took a leitmotif based approach _A_ he focused on the horror genre _A_ he specialised in comedy _A_ none of the above
cause,to,Why,"Why was electronic music used in ""Gone with the Wind""? _A_ to appeal to young people _A_ to reduce production costs _A_ to match melodies with the narrative _A_ to allow national anthems to be included _A_ none of the above"
factoid,,Which,"Which of the following descriptions is correct? _A_ ""The Lion King"" included atonal music _A_ ""North by Northwest"" used rock music _A_ ""Steamboat Willie"" had a piano score _A_ ""True Grit"" used the hit song ""Who's Afraid of the Big, Bad Wolf?"" _A_ none of the above"
cause,,Why,Why did European composers go to Hollywood? _A_ hot weather _A_ high salaries _A_ nice countryside _A_ cheaper housing _A_ none of the above
factoid,to,What,What is the prime concern of analysis? _A_ to determine the structure and features _A_ to determine the length and era _A_ to determine the structure and era _A_ to determine the features and era _A_ none of the above
factoid,determine,How,How is analysis carried out? _A_ determine the composer and date _A_ determine the influences on a composition _A_ determine the parts of a composition and links between them _A_ determine the links between the composition and others _A_ none of the above
time,,When,"When did the author of ""The Sandman"" write a review of a Beethoven symphony? _A_ 1810 _A_ 20th century _A_ 1957 _A_ 1986 _A_ none of the above"
factoid,,What,What was found to be unique about Beethoven's composition? _A_ the time signature and the key _A_ the melodies and their development _A_ Romantic ideologies _A_ the cult of artistic genius _A_ none of the above
cause,because,Why,Why did Schenker's mature theory only emerge after many years of struggle? _A_ because musical analysis is very easy _A_ because Schenker was lazy _A_ because musical analysis is very difficult _A_ because Schenker was busy with other projects _A_ none of the above
factoid,that,What,What did Milton Babbitt say about analysis? _A_ that statements should be humourous _A_ that statements should be formulated _A_ that statements should not be scientific _A_ that statements should be verified scientifically _A_ none of the above
cause,it,Why,Why is the analysis work of Heinrich Schenker so important? _A_ it can be applied to popular music _A_ it is easy to carry out _A_ it is a universal theory of tonality _A_ it is arguably self-confirming _A_ none of the above
factoid,Schenker,What,What did Eugene Narmour say about Schenker _A_ Schenker used information theory _A_ Schenker used group theory _A_ Schenker used generative linguistics _A_ Schenker used cognitive psychology _A_ none of the above
cause,she,Why,Why did Susan McClary devote herself to the analysis of Beethoven? _A_ she admired the Fifth Symphony _A_ she was interested in post-Freudian theories _A_ she had studied E.T.A Hoffmann _A_ she was concerned with masterworks _A_ none of the above
factoid,,How,How did E.T.A. Hoffman come to write his review of Beethoven's Fifth Symphony? _A_ he met Beethoven at a banquet _A_ he heard gramophone records of Beethoven _A_ they studied together in Vienna _A_ they were distant cousins _A_ none of the above
factoid,,What,"What was the main form of musical analysis in the eighteenth century? _A_ Romantic ideology _A_ pedagogical ""Kompositionslehre"" _A_ chordal succession _A_ piece-orientated approach _A_ none of the above"
factoid,to,What,What is the approach to musical analysis in North America? _A_ to focus on American compositions _A_ to be restricted to the seventeenth century _A_ to rely on computer analysis _A_ to compare two compositions at a time _A_ none of the above
factoid,to,What,"What is the aim of the 19th-century pedagogical ""Kompositionslehre""? _A_ to focus on the 20th century _A_ to focus on French music _A_ to focus on symphonic analysis _A_ to focus on the piano sonata _A_ none of the above"
factoid,,Name,"Name a journal of music theory and analysis _A_ ""Musiktheorie"" _A_ ""Music Theory and Society"" _A_ ""Journal of Analysis"" _A_ ""Analysis in North America"" _A_ none of the above"
factoid,it,Name,Name a criticism of music theory and analysis _A_ it does not consider music of the 20th century _A_ it does not consider broader historical and cultural contexts _A_ it is not based solely on the 19th century _A_ it is not based on theory _A_ none of the above
factoid,,What,What was found to be unique about Beethoven's composition? _A_ the time signature and the key _A_ the music's particular motivic material and its ingenious development _A_ Romantic ideologies _A_ the cult of artistic genius _A_ none of the above
factoid,that,What,What did Babbitt say about analysis? _A_ that statements should be humourous _A_ that statements should be formulated _A_ that statements should not be scientific _A_ that all analytic statements about music should adhere to strictly scientific criteria of formulation and verification _A_ none of the above
factoid,,How,How is analysis carried out? _A_ determine the composer and date _A_ determine the influences on a composition _A_ inventory the components of a particular composition and explain the particular disposition and relationship of those components _A_ determine the links between the composition and others _A_ none of the above
time,,When,When did E.T.A. Hoffmann write a review of a Beethoven symphony? _A_ 1810 _A_ 20th century _A_ 1957 _A_ 1986 _A_ none of the above
cause,the,What,What is the main cause of global warming? _A_ the use of fossil fuels _A_ the use of renewable energies _A_ the industrialisation of China and India _A_ the capture of CO2 released to the atmosphere _A_ None of the above
cause,,What,What is the main source of greenhouse effect gases in the United States? _A_ the use of hybrid cars _A_ cars with high fuel consumption _A_ the bad use of home heating _A_ the burning of fossil fuels _A_ None of the above
factoid,,Who,Who is in charge of estimating energy consumption  in United States? _A_ the Intergovernmental Panel on Climate Change _A_ the Department of Energy _A_ the industrialised nations _A_ China and India _A_ None of the above
cause,to,What,What is the goal of planting trees? _A_ to improve fuel eficiency _A_ to increase fossil fuel production _A_ to reduce CO2 emissions _A_ to develop alternative energy sources _A_ None of the above
quantity,,What,What percentage of the energy used in the USA is obtained from fossil fuels? _A_ 42% _A_ 90% _A_ 84% _A_ 98% _A_ None of the above
cause,to,What,What action should be taken in order to reduce global warming? _A_ to increase fossil fuel burning _A_ to increase carbon dioxide emissions _A_ to explore new oil wells _A_ to increase generation of GHGs _A_ None of the above
factoid,,What,What is the largest publicly traded energy company? _A_ Cambridge Energy Research Associates _A_ IPCC _A_ Exxon Mobil _A_ the Department of Energy _A_ None of the above
factoid,,What,What is the main activity of the company where Rex W. Tillerson works? _A_ research _A_ global warming _A_ carbon dioxide _A_ science _A_ None of the above
factoid,,What,What is the main activity of the company where Rex W. Tillerson is the CEO? _A_ research _A_ global warming _A_ carbon dioxide _A_ science _A_ None of the above
cause,,What,What consequence would a drop in black gold consumption have? _A_ an improvement in thermal power stations' efficiency _A_ an improvement of the global warming problem _A_ increase carbon capture from fossil fuels _A_ increased electricity generation _A_ None of the above
factoid,to,Besides,"Besides a reduction of fossil fuels, what other action related to these fuels should be taken in order to reduce their impact on climate change? _A_ to capture carbon during their combustion (to match other answers) _A_ to improve the fuel-efficiency of vehicles _A_ to improve public transport _A_ to research into renewable energies _A_ None of the above"
factoid,,What,What places are suggested for burying carbon captured from fossil fuel burning? _A_ electrical power plants _A_ China and India _A_ the atmosphere _A_ fossil fuels deposits _A_ None of the above
factoid,,What,What places are suggested for burying carbon captured from fossil fuel burning? _A_ electrical power plants _A_ China and India _A_ the atmosphere _A_ coalmines _A_ None of the above
factoid,,Name,Name a person who has contributed to a better knowledge of climate change _A_ the President of the United States _A_ Rex W. Tillerson _A_ the former CEO of Exxon Mobil _A_ Lee Raymond _A_ None of the above
cause,,What,What consequence would a drop in black gold consumption have? _A_ an improvement on thermal power stations efficiency _A_ an improvement of the global warming problem _A_ carbon capture from fossil fuels _A_ a higher electricity generation _A_ None of the above
binary,,Are,"Are Americans reducing their consumption of fossil fuels? _A_ yes, a little bit _A_ no _A_ unknown _A_ yes, more and more all the time _A_ None of the above"
cause,,What,What will essentially make a significant difference to protect the climate?  _A_ changing our energy behaviour by increasing the combustion of natural gas _A_ changing our energy behaviour _A_ changing our energy  and water consumption behaviour _A_ increasing the consumption of fossil fuels  _A_ None of the above
relation,,Which,Which problem is similar in nature to global warming? _A_ water pollution _A_ air pollution _A_ pesticide abuse _A_ lack of water _A_ None of the above
factoid,to,Where,Where did Todd Stern travel? _A_ to the United States _A_ to Copenhague _A_ to Latin America _A_ to Mexico _A_ None of the above
factoid,,Where,Where was there a climate summit that was a failure? _A_ Latin America _A_ Bonn _A_ Cancun _A_ Mexico _A_ None of the above
factoid,,What,What is one of the objectives of the Cancun convention? _A_ the use of carbon markets _A_ deforestation _A_ that demonstrations will be hold _A_ to repeat Copenhague's success _A_ None of the above
factoid,,Who,Who is in charge of trying to make the Cancun Convention a success? _A_ Todd Stern _A_ Christiana Figueres _A_ Brazil _A_ the Amazon Basin _A_ None of the above
factoid,,How,How do polluting countries manage not to reduce their emissions? _A_ growing forests in their territories _A_ cleaning power plants _A_ cleaning their factories _A_ buying carbon credits in other countries _A_ None of the above
factoid,to,Where,Where did Todd Stern travel? _A_ to the United States _A_ to Copenhague _A_ to Peru and Chile _A_ to Mexico _A_ None of the above
cause,because,Why,Why do wealthy countries have a climate debt? _A_ because they do not buy enough carbon credits _A_ because they do not spend enough on renewable energies _A_ because they do not attend climate conventions _A_ because they clean their factories and power plants _A_ None of the above
factoid,,What,What country supported the climate accord achieved in Denmark? _A_ India _A_ Chile _A_ Bolivia _A_ Ecuador _A_ None of the above
factoid,,What,What country supported the climate accord achieved in Copenhagen? _A_ India _A_ Chile _A_ Bolivia _A_ Ecuador _A_ None of the above
factoid,,What,What has been offered to the President of the United States if he signs the Kyoto Protocol? _A_ carbon _A_ money _A_ trees _A_ letters _A_ None of the above
factoid,,What,What has been offered to Obama if he signs the Kyoto Protocol? _A_ carbon _A_ money _A_ trees _A_ letters _A_ None of the above
factoid,to,What,What is supposed to follow the Kyoto Protocol? _A_ to deforest the Amazon _A_ to limit the amount of forests _A_ to continue not to control CO2 emissions _A_ to reduce investment in renewable energies _A_ None of the above
factoid,to,What,What is the objective of Stern's travel? _A_ to prepare for the Bonn session _A_ to talk with the Assistant Secretary of State for Western Hemisphere Affairs _A_ to prepare for the climate summit in Mexico _A_ to ensure access to resources in the Western hemisphere _A_ None of the above
factoid,,Which,Which country is the leader of REDD in America? _A_ Nicaragua _A_ United States _A_ Ecuador _A_ Bolivia _A_ None of the above
factoid,,Who,Who is often blamed for the failure of the climate change negotiations? _A_ Denmark _A_ Mexico _A_ Annex 1 countries _A_ United States _A_ None of the above
factoid,,Which,Which countries have had less influence on the climate debate until now? _A_ Asian _A_ African _A_ Latin American _A_ European _A_ None of the above
binary,,Does,Does the Copenhagen Accord reflect the contents of the People's Agreement? _A_ yes _A_ no _A_ only some parts _A_ most of the parts _A_ None of the above
factoid,,Which,Which country  is certainly an  important source of cheap carbon credits? _A_ United States _A_ Spain _A_ Peru _A_ Colombia _A_ None of the above
cause,,What,What should help United States to realize of the necessity for cutting CFCs emissions? _A_ money spent on solving problems caused by climate change _A_ studies about renewable energies _A_ studies about how to improve cataracts surgery _A_ money spent on industry that emits CO2 _A_ None of the above
factoid,,Which,Which two regions have ozone holes been detected in? _A_ Antartic and Canada _A_ Antartic and Europe _A_ Antartic and Oceania _A_ Europe and United States _A_ None of the above
factoid,,Which,Which two regions have ozone holes been detected in? _A_ Antartic and Canada _A_ Antartic and Belgium _A_ Antartic and Oceania _A_ Belgium and United States _A_ None of the above
cause,,How,How can ozone depletion damage climate change? _A_ increasing stratosphere temperature _A_ contributing to the destruction of forests _A_ destroying the ocean's ability to capture carbon _A_ removing greenhouse effect gases _A_ None of the above
factoid,,Where,Where was the agreement about climate change achieved? _A_ Vienna _A_ Montreal _A_ Canada _A_ Belgium _A_ None of the above
cause,because,Why,Why is it argued that the use of HFCs should still be allowed? _A_ because they substitute methyl bromide _A_ because they substitute halons _A_ because they are not greenhouse effect gases _A_ because they are not CFCs _A_ None of the above
cause,,How,How could US enviromental policy be improved? _A_ finding substitutes for CFCs _A_ joining the Kioto and Montreal protocols _A_ encouraging the use of CFCs in the medical industry _A_ only supporting the Montreal agreement _A_ None of the above
factoid,,What,What was one of the key issues in the elections won by Bill Clinton? _A_ renewable energies _A_ the greenhouse effect _A_ the ozone layer _A_ HCFCs _A_ None of the above
factoid,,What,What was one of the key issues in the US president elections of 1992? _A_ renewable energies _A_ the greenhouse effect _A_ the ozone layer _A_ HCFCs _A_ None of the above
factoid,to,What,What can be done to avoid the Montreal Protocol damaging the Kyoto one? _A_ to ignore the Kyoto Protocol _A_ to ignore the Montreal Protocol _A_ to deal with them separately _A_ to encourage HFC trading _A_ None of the above
factoid,to,What,What is the most important decision that must be taken in order to save the ozone layer? _A_ to remove EPA production _A_ to remove methyl bromide production _A_ to remove production of PFCs _A_ to remove HCFC production _A_ None of the above
cause,,What,What is one of the main reasons for cataracts? _A_ an excess of CFCs _A_ skin cancer _A_ UV-B radiation _A_ methyl bromide _A_ None of the above
factoid,,What,What types of gas did the agreement achieved in Canada try to remove? _A_ CO2 _A_ HFCs _A_ ozone _A_ PFCs _A_ None of the above
factoid,,What,What types of gas did the agreement achieved in Canada try to remove? _A_ CO2 _A_ HFCs _A_ ozone _A_ PFCs _A_ None of the above
factoid,,Which,Which country in Oceania has received radiation which should have been blocked by the ozone layer? _A_ Fiji _A_ Australia _A_ Canada _A_ New Zealand _A_ None of the above
binary,,Has,Has the Montreal Protocol been efficient in stopping deterioration of the ozone layer? _A_ yes _A_ unknown _A_ no _A_ in some aspects yes _A_ None of the above
factoid,,Which,Which country has met its financial  commitments to the Multilaterial Fund? _A_ Italy _A_ Germany _A_ Japan _A_ U.S. _A_ None of the above
factoid,,What,What are the positive aspects of the U.S. policy to protect the ozone layer? _A_ supporting efforts to accelerate the HCFC phaseout  _A_ supporting the adoption of alternatives to ozone depletion _A_ internalising the new scientific evidence demonstrating the correlation between ozone depletion and global warming _A_ sufficiently promoting low global warming and non-HCFC technologies _A_ None of the above
factoid,,Who,Who has announced petrol exploration in the Arctic? _A_ Vladimir Chuprov _A_ Lisa Speer _A_ a member of NRDC _A_ Russia's president _A_ None of the above
factoid,,What,"What countries are part of Arctic 5? _A_ Norway, Greenland and Siberia _A_ United States of America, Canada, Norway, Greenland and Russia _A_ Saudi Arabia, United States of America and Russia _A_ Mexico, Norway, Russia, Canada and Saudi Arabia _A_ None of the above"
factoid,,Who,Who has announced petrol exploration in the Arctic? _A_ Vladimir Chuprov _A_ Lisa Speer _A_ a member of NRDC _A_ Vladimir Putin _A_ None of the above
factoid,,Which,Which is the highest petrol producer of Arctic 5? _A_ Canada _A_ United States _A_ Norway _A_ Greenland _A_ None of the above
factoid,,Where,Where was there an oil spill in 2010? _A_ Saudi Arabia _A_ the Gulf of Mexico _A_ northern Russia _A_ the Arctic _A_ None of the above
cause,because,Why,Why is petrol extraction a risky activity in the Arctic? _A_ because there is not appropriate infrastructure _A_ because workers are not qualified _A_ because it could damage the environment _A_ because BP does not have experience _A_ None of the above
factoid,,What,What do indigenous Russian people from Siberia live on? _A_ bridge building _A_ roadworks _A_ hunting and fishing _A_ petrol exploration _A_ None of the above
factoid,,What,What do Nenets live on? _A_ bridge building _A_ roadworks _A_ hunting and fishing _A_ petrol exploration _A_ None of the above
factoid,,How,How was the worlds worst oil catastrophe produced? _A_ pipe damage _A_ a tank's explosion _A_ a river block _A_ a collapsed dike _A_ None of the above
cause,,What,What was the reason for the third worlds worst oil spill? _A_ damage to a petrol platform _A_ leaks in a decommissioned oil well _A_ roadworks _A_ bridge building _A_ None of the above
cause,,What,What was the reason for the third worlds worst oil spill? _A_ damage to a pipeline _A_ leaks in a decommissioned oil well _A_ roadworks _A_ bridge building _A_ None of the above
factoid,,Who,Who was in charge of the petrol platform that had an oil spill in 1994? _A_ Exxon Valde _A_ BP _A_ the World Wildlife Fund _A_ the Arctic Council _A_ None of the above
factoid,to,What,What advice has been given to the country led by Obama with respect to drillings in the Arctic? _A_ to establish a leasing plan for blocks outside the Arctic's outer continental shelf  _A_ to protect his indigenous people _A_ to do environmental studies _A_ to listen to Greenpeace _A_ None of the above
cause,,What,What has been the reason behind the extinction of several Arctic species? _A_ developing roads _A_ gas drilling _A_ petrol drilling _A_ Arctic ice warming _A_ None of the above
factoid,to,What,What advice has been given to the United States with respect to drillings in the Arctic? _A_ to establish a leasing plan for blocks outside the Arctic's outer continental shelf  _A_ to protect his indigenous people _A_ to do environmental studies _A_ to listen to Greenpeace _A_ None of the above
cause,,How,How can the impact of Arctic drillings be reduced? _A_ doing the same as in Deepwater Horizon _A_ allowing Arctic ice melting _A_ building more tankers _A_ allowing changes in the ecosystem _A_ None of the above
cause,,What,"What has been the reason for the deaths of polar bears, narwhals and walrus? _A_ developing roads _A_ gas drilling _A_ petrol drilling _A_ Arctic ice warming _A_ None of the above"
factoid,,Which,Which area has the basic infrastructure needed for spill response? _A_ northern Canada _A_ northern Russia _A_ the Gulf _A_ the Arctic _A_ None of the above
binary,,Is,Is the U.S. able to conduct  oil and gas activities safely in the Arctic? _A_ definitely _A_ in certain cases _A_ definitely not _A_ unknown _A_ None of the above
factoid,,Which,Which company is prepared enough for Arctic oil extraction? _A_ BP _A_ Exxon Mobile _A_ Statoil _A_ American companies _A_ None of the above
factoid,to,What,What is the main objective of the Emergency Program? _A_ to make anti-retroviral drugs available to the poor _A_ to use the lowest-cost generic medications _A_ to change the international patent laws _A_ to import life-saving drugs _A_ none of the above
cause,because,Why,Why were AIDS activists  not happy with Randall Tobias being appointed as global AIDS co-ordinator? _A_ because he was the head of Columbia University _A_ because he was supposed to favour the pharmaceutical industries _A_ because he lived in Caribbean countries _A_ because he was a person with great acumen _A_ none of the above
cause,because,Why,Why is Randall Tobias supposed to receive the rank of ambassador? _A_ because he was a major Republican contributor  _A_ because he was a former top executive of a major U.S. pharmaceutical company _A_ because he retired from Lilly _A_ because he was vice chairman of A&T _A_ none of the above
binary,,Has,"Has Randall Tobias been confirmed as President George W. Bush's global AIDS co-ordinator? _A_ Yes, a few days before Bush's first trip as president to Africa _A_ Not yet _A_ Yes, on July 1 _A_ Yes, last January _A_ none of the above"
factoid,he,What,"What does the author of the book ""The End of Poverty"" think about the appointment of Randall Tobias? _A_ he defines it as important _A_ he defines it as successful _A_ he defines it as serious _A_ he defines it as surreal _A_ none of the above"
factoid,,Who,"Who will be in charge of carrying out effectively the ""Emergency Plan""? _A_ George W. Bush _A_ the former chief executive officer of Eli Lilly & Co _A_ Secretary of State Colin Powell _A_ the head of Columbia University _A_ none of the above"
factoid,he,What,What does Jeffrey Sachs think about the appointment of Randall Tobias? _A_ he defines it as important _A_ he defines it as successful _A_ he defines it as serious _A_ he defines it as surreal _A_ none of the above
factoid,,What,What types of drug are used by the U.S. Administration for the Emergency Program? _A_ generics _A_ it is to be decided _A_ brand-name anti-viral medicines _A_ triple combinations of anti-retroviral drugs _A_ none of the above
quantity,,How,How many countries are included in the Emergency Program? _A_ 12 _A_ 2 _A_ 18 _A_ 10 _A_ none of the above
factoid,his,What,What is a strong characteristic of Randall Tobias? _A_ his experience with AIDS _A_ his background in public health _A_ his experience with working in poor countries _A_ his contacts with the World Trade Organization (WTO) _A_ none of the above
factoid,,Who,Who was the adviser of the Ghanaian diplomat? _A_ Randall Tobias _A_ Jeffrey Sachs _A_ Colin Powell _A_ George W. Bush _A_ none of the above
factoid,,Who,Who was the adviser of Kofi Annan? _A_ Randall Tobias _A_ Jeffrey Sachs _A_ Colin Powell _A_ George W. Bush _A_ None of the above
factoid,he,What,What is Randall Tobias reputation? _A_ he is a down-to-earth businessperson _A_ he is incomprehensible _A_ he is an impoverished man _A_ he is a man of philosophy _A_ None of the above
factoid,he,What,What is Randall Tobias' reputation? _A_ he is a no-nonsense businessman _A_ he is incomprehensible _A_ he is an impoverished man _A_ he is a man of philosophy _A_ none of the above
factoid,at,Where,Where were the agreements on international patent law signed? _A_ at the World Trade Organization meeting in Doha  _A_ at Big Pharma _A_ at the office of Management and Budget _A_ at the Health Global Access project meeting _A_ none of the above
factoid,because,Why,"Why is Big Pharma considered the major organization responsible for contributing to the Global Fund? _A_ because Big Pharma will provide $200 million _A_ because Big Pharma is against the Emergency program _A_ because Big Pharma produces drugs in India, Thailand and Brazil _A_ because Big Pharma wants to import generic anti-AIDS and other life-saving drugs _A_ none of the above"
quantity,,What,What is the annual US contribution to the Global Fund to fight AIDS? _A_ $200 million  _A_ $1 billion _A_ $20 million _A_ $2 billion _A_ None of the above
factoid,about,What,What are activists most concerned about? _A_ about statistics of the AIDS toll in Africa _A_ about importing generic anti-AIDS drugs _A_ about the International AIDS Trust _A_ about the World Trade Organization _A_ None of the above
relation,the,What,What is the main difference between AIDS in Africa and black America? _A_ the risk of onward transmission _A_ the pharmaceutical companies _A_ the origins  _A_ the population _A_ none of the above
cause,because,Why,"Why is the ""Dark Continent"" able to suggest a way out of the epidemic? _A_ because it is very distant _A_ because it has little relevance to the United States _A_ because it has low-income populations _A_ because people are homeless _A_ None of the above"
quantity,,How,How many Americans live with HIV-AIDS? _A_ 50 _A_ 30 _A_ 40 _A_ 104 _A_ None of the above
time,,When,When did mortality begin to decrease in Africa? _A_ 2005 _A_ 2003 _A_ between 2008 and 2010 _A_ during the first 20 years _A_ none of the above
cause,through,How,How can AIDS in the United States be more successfully approached?  _A_ through homelessness and drug use _A_ through HIV medications and living with the disease _A_ through community health networks and an uncoordinated response _A_ through community health networks and strong family-based support _A_ none of the above
factoid,,What,"What is PEPFAR recommending? _A_ HIV medications should be available only in the United States _A_ HIV testing and counselling should be focussed in Washington, D.C. _A_ community health workers should be in charge of HIV testing and counselling _A_ HIV testing and counselling is focussed on individuals _A_ none of the above"
time,,When,When did the U.S. implement a national HIV/AIDS strategy? _A_ 30 years ago _A_ 20 years ago _A_ before the other countries that the U.S. has been funding _A_ between 2008 and 2010 _A_ None of the above
time,,When,When were the first cases of AIDS reported in the U.S. State of California _A_ 30 years ago _A_ 20 years ago _A_ thirty-three years ago _A_ in 2010 _A_ None of the above
time,,When,When were the first cases of AIDS reported in Los Angeles? _A_ 30 years ago _A_ 20 years ago _A_ thirty-three years ago _A_ in 2010 _A_ none of the above
factoid,,According,"According to the text, which country ranks 16th in the world for HIV infection? _A_ South Africa _A_ black America _A_ Kenya _A_ unspecified _A_ none of the above"
factoid,to,What,What was the position of the American politician at the World Trade organisation Conference in 1999? _A_ to prevent the spread of the epidemic in Africa  _A_ to make patent laws more flexible _A_ to limit the risk of infections _A_ to allow pharmaceutical companies to make profit _A_ none of the above
factoid,to,What,What was Bill Clinton's position at the World Trade organisation Conference in 1999? _A_ to prevent the spread of the epidemic in Africa _A_ to limit the risk of infection _A_ to make patent laws more flexible _A_ to allow pharmaceutical companies to make profit _A_ none of the above
cause,because,Why,"Why are gay white American men most affected by AIDS? _A_ because they have blamed Africa for the disease _A_ because the infection rate was about 56,000 a year in the United States _A_ because white leaders refused to implement an AIDS education program _A_ because US had colonies in Cameroon _A_ none of the above"
binary,,Were,"Were white leaders fast in implementing an AIDS education program in South Africa? _A_ yes _A_ no, but they did in the end _A_ not until the end of the 1980s _A_ no _A_ None of the above"
factoid,to,What,What was PEPFAR's goal? _A_ to disseminate the PBS program _A_ to reduce the infection rate for black women _A_ to keep HIV prevalence at 3 percent _A_ to advice the Office of National AIDS policy _A_ None of the above
factoid,,Compared,"Compared to which disease, was AIDS in Africa regarded as not worth considering? _A_ Simian Immunodeficiency Virus (SIV) _A_ ARVS _A_ PEPFAR _A_ malaria _A_ None of the above"
relation,,In,"In comparison to what, was AIDS in Africa regarded as unimportant? _A_ Simian Immunodeficiency Virus (SIV) _A_ ARVS _A_ PEPFAR _A_ malaria _A_ None of the above"
cause,due,Why,Why were the prices of anti-retroviral drugs reduced in the 2000s? _A_ due to Bill Clinton's promotion of flexible laws in patents _A_ due to HIV/AIDS epidemic by the end of the 1980s _A_ due to the USAID Administrator _A_ due to the President's Emergency Plan for AIDS Relief _A_ none of the above
factoid,,What,What is U.S. AIDS policy dominated by? _A_ health clinics and the loyalty oath _A_ prostitution and business _A_ financial greed and religious dogma _A_ AIDS medicines and donations _A_ None of the above
factoid,many,Name,Name one consequence of U.S. AIDS policy. _A_ many people have access to medicines _A_ many people are outraged _A_ many people have a healthy sexual life _A_ many people die _A_ none of the above
factoid,to,What,What is the policy of the first American President born of the baby boomer generation? _A_ to ask for reduced prices for drugs _A_ to make profits from the pharmaceutical industry _A_ to build health clinics all over the world _A_ to shift the public debate from money to drugs _A_ none of the above
factoid,,What,What is driving U.S. AIDS policy? _A_ the sexual and reproductive health of people _A_ women's rights _A_ many people's death _A_ the sale of AIDS medicines _A_ none of the above
factoid,to,What,What is Bill Clinton's tendency? _A_ to ask for reduced prices for drugs _A_ to make profits from the pharmaceutical industry _A_ to build health clinics all over the world _A_ to shift the public debate from money to drugs _A_ none of the above
factoid,,What,What are countries of the Global South asking for? _A_ charity _A_ religious dogma _A_ neither charity nor religious dogma _A_ condoms _A_ None of the above
factoid,because,Why,Why is abstinence not enough to reduce the spread of HIV? _A_ because 95% of AIDS patients are in Africa _A_ because people make use of condoms _A_ because many clinics were forced to close _A_ because women have no access to medicines _A_ none of the above
cause,because,Why,Why does AIDS policy go hand in hand with greed and dogma? _A_ because they both ask for women's human rights _A_ because they both foster abortion _A_ because they both favour the compliance of abstinence and fidelity   _A_ because they increase women's chances to contract HIV _A_ none of the above
binary,,Has,"Has the ""global gag rule"" been repealed? _A_ yes, last year, the Senate voted to rescind it _A_ yes, thanks to the House _A_ no, the House opposed _A_ no, the Congress opposed _A_ none of the above"
cause,in,Why,Why should medicines not be included in the World Trade Organisation patent rules? _A_ in order to hold the administration to its promise _A_ in order to ensure universal access to treatment _A_ in order to promote women's rights _A_ in order to force the US to fund its fair share _A_ none of the above
factoid,in,Where,Where did the World Trade Organization meeting in 2011 take place? _A_ in the capital of the United States _A_ in the United Kingdom's largest city _A_ in the capital and the largest city of Sweden _A_ in Qatar's largest city _A_ None of the above
factoid,in,Where,Where did the World Trade Organisation meeting in 2011 take palce? _A_ in Washington _A_ in London _A_ in Stockholm _A_ in Doha _A_ None of the above
factoid,to,What,What is the main objective of the CAFTA? _A_ to comply with U.S. obligations _A_ to fight the AIDS pandemic _A_ to comply with U.S. AIDS policy _A_ to dominate prevention strategies _A_ None of the above
factoid,,What,What reduces the spread of HIV? _A_ moralizing about abstinence _A_ fidelity as a prevention strategy _A_ condoms when used as a last resort _A_ U.S. AIDS prevention funding _A_ none of the above
factoid,,Name,Name the international organisation that aims to prevent and treat HIV and AIDS. _A_ CAFTA _A_ GFATM _A_ WTO _A_ the Department of Health and Human Services _A_ None of the above
factoid,the,Name,"Name the international organization that aims to prevent and treat HIV and AIDS. _A_ the Central American Free Trade Agreement _A_ the Global Fund to Fight AIDS, Tuberculosis and Malaria _A_ the World Trade Organisation _A_ the Department of Health and Human Services _A_ none of the above"
factoid,to,What,"What is the strategy of the Global AIDS Coordinator to combat the spread of HIV? _A_ to comply with US policy _A_ to comply with religious dogma _A_ to find funding _A_ to apply the ""global gag rule"" _A_ none of the above"
quantity,,How,How many people around the world died of AIDS in the last year?  _A_ four million people _A_ three billion people _A_ two thousand people _A_ twenty thousand people _A_ none of the above
binary,,Did,Did president Obama commit to $50 billion dollars over the next 5 years to fight AIDS? _A_ yes _A_ no _A_ maybe _A_ unknown _A_ None of the above
binary,,Are,"Are the U.S. providing treatment for one-third of the people who need it? _A_ no, for less _A_ yes _A_ no, for more _A_ no, for 1 million people _A_ None of the above"
factoid,,What,What plans have been developed to provide Universal Access to AIDS Treatment? _A_ providing $50 billion to fight HIV/AIDS _A_ double the number of people on treatment _A_ providing treatment for at least one-third of the people who need it _A_ allocating $30 billion over the next 5 years for HIV/AIDS funding _A_ None of the above
factoid,,How,How did activists attempt to make AIDS a well-known problem? _A_ demanding to domestic policy _A_ birdoggiing _A_ acting on the international HIV/AIDS crisis _A_ employing more activists _A_ none of the above
